rcasiteid,rcapid,x,y
C1508W02,C1508W021,-81.23,25.26
C1508W02,C1508W022,-81.23,25.26
C1508W02,C1508W023,-81.23,25.26
C1508W02,C1508W024,-81.23,25.26
C1508W02,C1508W025,-81.23,25.26
C0804R21,C0804R211,-104.49,30.03
C0804R21,C0804R212,-104.49,30.03
C0804R21,C0804R213,-104.49,30.03
C0804R21,C0804R214,-104.49,30.03
C0804R21,C0804R215,-104.49,30.03
C0805R13,C0805R131,-103.61,29.99
C0805R13,C0805R132,-103.61,29.99
C0805R13,C0805R133,-103.61,29.99
C0805R13,C0805R134,-103.61,29.99
C0805R13,C0805R135,-103.61,29.99
C0809R04,C0809R041,-104.06,30.43
C0809R04,C0809R042,-104.06,30.43
C0809R04,C0809R043,-104.06,30.43
C0809R04,C0809R044,-104.06,30.43
C0809R04,C0809R045,-104.06,30.43
C0904P05,C0904P051,-99.72,27.68
C0904P05,C0904P052,-99.72,27.68
C0904P05,C0904P053,-99.72,27.68
C0904P05,C0904P054,-99.72,27.68
C0904P05,C0904P055,-99.72,27.68
C0908R12,C0908R121,-99.97,28.36
C0908R12,C0908R122,-99.97,28.36
C0908R12,C0908R123,-99.97,28.36
C0908R12,C0908R124,-99.97,28.36
C0908R12,C0908R125,-99.97,28.36
C0911R22,C0911R221,-100.03,28.32
C0911R22,C0911R222,-100.03,28.32
C0911R22,C0911R223,-100.03,28.32
C0911R22,C0911R224,-100.03,28.32
C0911R22,C0911R225,-100.03,28.32
C0914R02,C0914R021,-100.82,30.36
C0914R02,C0914R022,-100.82,30.36
C0914R02,C0914R023,-100.82,30.36
C0914R02,C0914R024,-100.82,30.36
C0914R02,C0914R025,-100.82,30.36
C0914R03,C0914R031,-102.05,29.98
C0914R03,C0914R032,-102.05,29.98
C0914R03,C0914R033,-102.05,29.98
C0914R03,C0914R034,-102.05,29.98
C0914R03,C0914R035,-102.05,29.98
C0914R10,C0914R101,-99.98,29.72
C0914R10,C0914R102,-99.98,29.72
C0914R10,C0914R103,-99.98,29.72
C0914R10,C0914R104,-99.98,29.72
C0914R10,C0914R105,-99.98,29.72
C0914R13,C0914R131,-101.05,30.28
C0914R13,C0914R132,-101.05,30.28
C0914R13,C0914R133,-101.05,30.28
C0914R13,C0914R134,-101.05,30.28
C0914R13,C0914R135,-101.05,30.28
C0914R15,C0914R151,-100.4,30.02
C0914R15,C0914R152,-100.4,30.02
C0914R15,C0914R153,-100.4,30.02
C0914R15,C0914R154,-100.4,30.02
C0914R15,C0914R155,-100.4,30.02
C0901P10,C0901P101,-98.08,30.42
